id,name,manufacture_year,make,gender
382,Silverado 3500HD,2006,Chevrolet,146742
383,Amigo,1998,Isuzu,597156
384,Celica,2004,Toyota,467701
385,Avalon,2006,Toyota,135989
386,Sebring,2010,Chrysler,205890
387,XK,2007,Jaguar,712508
388,6000,1983,Pontiac,761221
389,Yukon,2008,GMC,229527
390,MDX,2004,Acura,499926
391,Rodeo,1995,Isuzu,786323
392,Land Cruiser,1994,Toyota,200649
393,Range Rover Classic,1993,Land Rover,810631
394,R-Class,2010,Mercedes-Benz,189177
395,Sierra,2012,GMC,958459
396,M5,2002,BMW,949216
397,Bonneville,1966,Pontiac,947078
398,300SE,1993,Mercedes-Benz,193301
399,Econoline E250,1994,Ford,420809
400,Parisienne,1984,Pontiac,610559
401,850,1994,Volvo,364165
402,CC,2009,Volkswagen,116604
403,Cougar,1970,Mercury,407946
404,Carrera GT,2004,Porsche,267612
405,Malibu,2011,Chevrolet,745635
406,2500,1997,GMC,352870
407,Sienna,2012,Toyota,747835
408,Quest,2002,Nissan,509824
409,Regency,1997,Oldsmobile,893190
410,Mystique,1997,Mercury,441055
411,Colt,1989,Dodge,237654
412,Cayman,2009,Porsche,288937
413,Sierra,2012,GMC,172845
414,Amigo,1998,Isuzu,796724
415,S4,2012,Audi,704912
416,Aspire,1997,Ford,297279
417,DB9,2009,Aston Martin,349547
418,LTD Crown Victoria,1984,Ford,568080
419,Skyhawk,1987,Buick,402305
420,Ram 2500,2008,Dodge,400466
421,XC70,2008,Volvo,492922
422,Grand Prix,1981,Pontiac,220455
423,Sonata,2009,Hyundai,806687
424,Colt,1994,Plymouth,888575
425,Escalade,2005,Cadillac,106299
426,Trooper,1993,Isuzu,189126
427,Monte Carlo,1997,Chevrolet,510613
428,Golf,2005,Volkswagen,378536
429,Tredia,1987,Mitsubishi,841671
430,Trooper,1998,Isuzu,617216
431,Cordia,1984,Mitsubishi,666073
432,RL,2011,Acura,730750
433,Monterey,2006,Mercury,561766
434,Trans Sport,1994,Pontiac,265334
435,Ram,2011,Dodge,454125
436,Grand Prix,1997,Pontiac,742633
437,Diamante,1995,Mitsubishi,651122
438,Suburban 1500,2012,Chevrolet,533918
439,Land Cruiser,2005,Toyota,749011
440,3 Series,2002,BMW,824253
441,H3T,2010,Hummer,804373
442,GS,2003,Lexus,772917
443,Galant,1986,Mitsubishi,372918
444,SLK-Class,2001,Mercedes-Benz,926446
445,Mark LT,2008,Lincoln,594518
446,Avalon,2004,Toyota,321388
447,88,1992,Oldsmobile,880434
448,944,1988,Porsche,693471
449,LS,1990,Lexus,462185
450,Challenger,2012,Dodge,778385
451,G-Series 1500,1998,Chevrolet,102485
452,Beetle,1967,Volkswagen,436067
453,Grand Voyager,2000,Plymouth,268342
454,Express 3500,1996,Chevrolet,453178
455,Mystique,1997,Mercury,105781
456,Ranger,2005,Ford,105226
457,Land Cruiser,1995,Toyota,110063
458,Liberty,2006,Jeep,674873
459,Elantra,2009,Hyundai,621588
460,Viper,2008,Dodge,201874
461,Mountaineer,1999,Mercury,346294
462,CL,1997,Acura,111797
463,Diamante,1997,Mitsubishi,568975
464,E-Class,2006,Mercedes-Benz,121749
465,Q,1996,Infiniti,112989
466,Navigator L,2007,Lincoln,674306
467,Virage,2012,Aston Martin,111976
468,Pacifica,2006,Chrysler,722988
469,Cabriolet,1994,Audi,468257
470,F250,2009,Ford,521292
471,Echo,2005,Toyota,989480
472,Sierra 3500,2007,GMC,679954
473,62,2012,Maybach,462339
474,RAV4,2007,Toyota,681762
475,Cayenne,2013,Porsche,761086
476,Altima,2012,Nissan,805842
477,Marauder,2003,Mercury,487273
478,MKS,2012,Lincoln,133079
479,Boxster,2013,Porsche,941724
480,Rockette,1960,Fairthorpe,340737
481,Corvette,2007,Chevrolet,339596
482,F-Series,2010,Ford,861341
483,MX-5,1997,Mazda,290561
484,Lumina,2001,Chevrolet,525822
485,Prius,2012,Toyota,145921
486,Montero,1994,Mitsubishi,859966
487,Talon,1991,Eagle,402294
488,Sienna,1999,Toyota,735051
489,ES,1991,Lexus,984909
490,Ram Van 2500,2003,Dodge,449238
491,LS,2012,Lexus,769239
492,3 Series,2011,BMW,793010
493,Tribute,2005,Mazda,679605
494,Eos,2008,Volkswagen,578256
495,Ridgeline,2008,Honda,718713
496,E-Series,1988,Ford,865568
497,E-Class,2000,Mercedes-Benz,323934
498,Intrigue,2000,Oldsmobile,801936
499,Sentra,2001,Nissan,515223
500,CLS-Class,2011,Mercedes-Benz,533656
